id,number,semester,year,user,difficulty,interest,department,workload1,workload2,workload3,workload4
s6_CIS_5620_2022_Spring,5620,Spring,2022,s6,1,3,CIS,1,2,1,1
s6_CIS_5640_2022_Spring,5640,Spring,2022,s6,5,4,CIS,5,5,5,5
s7_CIS_6770_2020_Fall,6770,Fall,2020,s7,4,5,CIS,4,5,4,4
s7_CIS_1930_2022_Spring,1930,Spring,2022,s7,4,3,CIS,3,5,3,3
s7_CIS_5570_2021_Spring,5570,Spring,2021,s7,5,2,CIS,5,5,5,5
s7_CIS_4100_2020_Fall,4100,Fall,2020,s7,5,5,CIS,4,5,4,5
s7_CIS_8000_2022_Fall,8000,Fall,2022,s7,5,1,CIS,5,4,5,5
s8_CIS_5660_2021_Spring,5660,Spring,2021,s8,5,1,CIS,5,4,5,4
s8_CIS_5200_2021_Spring,5200,Spring,2021,s8,1,2,CIS,2,2,1,2
s8_CIS_5730_2020_Spring,5730,Spring,2020,s8,2,1,CIS,1,3,2,2
s8_CIS_4670_2020_Fall,4670,Fall,2020,s8,4,2,CIS,5,4,4,5
s8_CIS_5180_2021_Fall,5180,Fall,2021,s8,2,3,CIS,2,2,1,3
s9_CIS_6820_2022_Spring,6820,Spring,2022,s9,2,1,CIS,3,1,1,3
s9_CIS_5640_2020_Fall,5640,Fall,2020,s9,3,4,CIS,2,3,4,4
s9_CIS_6010_2022_Fall,6010,Fall,2022,s9,1,5,CIS,1,1,2,1
s9_CIS_5220_2022_Fall,5220,Fall,2022,s9,4,3,CIS,5,3,5,4
s9_CIS_3900_2021_Spring,3900,Spring,2021,s9,1,4,CIS,1,2,1,2
s10_CIS_5520_2022_Spring,5520,Spring,2022,s10,1,4,CIS,1,1,1,1
s10_CIS_1980_2021_Spring,1980,Spring,2021,s10,3,4,CIS,4,2,4,3
s10_CIS_8100_2021_Spring,8100,Spring,2021,s10,3,2,CIS,2,2,3,4
s10_CIS_3310_2022_Spring,3310,Spring,2022,s10,2,5,CIS,3,3,2,2
s10_CIS_8950_2021_Spring,8950,Spring,2021,s10,1,1,CIS,1,2,2,2
s11_CIS_2620_2020_Spring,2620,Spring,2020,s11,3,1,CIS,2,2,2,3
s11_CIS_1910_2020_Spring,1910,Spring,2020,s11,1,2,CIS,1,1,1,1
s11_CIS_5670_2021_Spring,5670,Spring,2021,s11,5,3,CIS,4,5,5,5
s11_CIS_5660_2020_Spring,5660,Spring,2020,s11,2,5,CIS,1,1,3,1
s11_CIS_9950_2022_Spring,9950,Spring,2022,s11,3,2,CIS,3,3,3,3
s12_CIS_4230_2020_Spring,4230,Spring,2020,s12,1,3,CIS,1,1,1,1
s12_CIS_2610_2022_Fall,2610,Fall,2022,s12,2,3,CIS,1,1,3,1
s12_CIS_9950_2020_Spring,9950,Spring,2020,s12,4,1,CIS,4,4,3,5
s12_CIS_5730_2021_Fall,5730,Fall,2021,s12,4,2,CIS,4,4,5,4
s12_CIS_1600_2021_Fall,1600,Fall,2021,s12,2,4,CIS,1,2,3,1
s13_CIS_6200_2021_Spring,6200,Spring,2021,s13,1,5,CIS,2,1,1,1
s13_CIS_4410_2022_Spring,4410,Spring,2022,s13,2,2,CIS,3,1,2,2
s13_CIS_6500_2022_Fall,6500,Fall,2022,s13,3,2,CIS,2,2,2,4
s13_CIS_6250_2021_Spring,6250,Spring,2021,s13,2,4,CIS,2,3,1,2
s13_CIS_5620_2022_Fall,5620,Fall,2022,s13,3,3,CIS,3,3,4,4
s14_CIS_5680_2021_Fall,5680,Fall,2021,s14,2,1,CIS,1,1,1,3
s14_CIS_5420_2020_Fall,5420,Fall,2020,s14,3,5,CIS,3,2,4,4
s14_CIS_3500_2022_Spring,3500,Spring,2022,s14,4,1,CIS,5,3,5,4
s14_CIS_5610_2020_Spring,5610,Spring,2020,s14,1,2,CIS,2,1,1,2
s14_CIS_5640_2022_Fall,5640,Fall,2022,s14,3,2,CIS,2,2,2,4
s15_CIS_3310_2020_Spring,3310,Spring,2020,s15,2,5,CIS,1,1,1,2
s15_CIS_5640_2020_Spring,5640,Spring,2020,s15,5,5,CIS,5,5,5,5
s15_CIS_5810_2022_Fall,5810,Fall,2022,s15,5,2,CIS,4,5,5,4
s15_CIS_9990_2022_Spring,9990,Spring,2022,s15,2,5,CIS,2,3,2,3
s15_CIS_5480_2020_Spring,5480,Spring,2020,s15,3,4,CIS,2,4,4,3
s16_CIS_4550_2020_Fall,4550,Fall,2020,s16,1,2,CIS,1,2,2,2
s16_CIS_5810_2022_Spring,5810,Spring,2022,s16,4,1,CIS,4,5,5,5
s16_CIS_4970_2020_Spring,4970,Spring,2020,s16,2,4,CIS,1,1,3,2
s16_CIS_3410_2020_Fall,3410,Fall,2020,s16,2,5,CIS,1,3,1,1
s16_CIS_5610_2020_Spring,5610,Spring,2020,s16,5,5,CIS,4,5,5,5
s17_CIS_5220_2022_Spring,5220,Spring,2022,s17,2,5,CIS,1,1,3,2
s17_CIS_5730_2022_Spring,5730,Spring,2022,s17,5,3,CIS,4,5,4,5
s17_CIS_5910_2020_Fall,5910,Fall,2020,s17,4,3,CIS,4,3,5,4
s17_CIS_5710_2020_Fall,5710,Fall,2020,s17,5,4,CIS,5,5,4,5
s17_CIS_2610_2020_Spring,2610,Spring,2020,s17,2,4,CIS,2,1,2,1
s18_CIS_5820_2020_Fall,5820,Fall,2020,s18,2,1,CIS,1,1,1,2
s18_CIS_5220_2022_Spring,5220,Spring,2022,s18,2,1,CIS,1,2,1,2
s18_CIS_1910_2022_Fall,1910,Fall,2022,s18,5,2,CIS,4,5,5,4
s18_CIS_2400_2021_Spring,2400,Spring,2021,s18,3,4,CIS,3,2,2,4
s18_CIS_5730_2020_Fall,5730,Fall,2020,s18,3,5,CIS,2,4,3,4
s19_CIS_1930_2022_Spring,1930,Spring,2022,s19,1,2,CIS,1,1,1,2
s19_CIS_1910_2021_Fall,1910,Fall,2021,s19,4,5,CIS,5,5,3,5
s19_CIS_5620_2021_Spring,5620,Spring,2021,s19,3,1,CIS,3,2,3,3
s19_CIS_3310_2021_Spring,3310,Spring,2021,s19,2,3,CIS,2,2,1,2
s19_CIS_3310_2022_Spring,3310,Spring,2022,s19,4,5,CIS,4,5,5,4
s20_CIS_5560_2021_Spring,5560,Spring,2021,s20,4,1,CIS,3,5,5,3
s20_CIS_6820_2021_Spring,6820,Spring,2021,s20,2,4,CIS,1,2,2,2
s20_CIS_5630_2021_Fall,5630,Fall,2021,s20,1,2,CIS,2,1,1,1
s20_CIS_1880_2021_Spring,1880,Spring,2021,s20,3,2,CIS,4,3,2,3
s20_CIS_4670_2021_Spring,4670,Spring,2021,s20,5,4,CIS,4,5,4,5
s21_CIS_5940_2022_Spring,5940,Spring,2022,s21,3,1,CIS,2,4,2,2
s21_CIS_1940_2020_Fall,1940,Fall,2020,s21,1,5,CIS,1,1,1,1
s21_CIS_5680_2020_Spring,5680,Spring,2020,s21,1,1,CIS,1,2,1,1
s21_CIS_1100_2021_Spring,1100,Spring,2021,s21,4,1,CIS,5,3,3,3
s21_CIS_1890_2020_Spring,1890,Spring,2020,s21,3,5,CIS,2,4,3,4
s22_CIS_6100_2021_Fall,6100,Fall,2021,s22,1,3,CIS,1,1,2,1
s22_CIS_5960_2021_Fall,5960,Fall,2021,s22,4,2,CIS,3,5,5,5
s22_CIS_5560_2021_Spring,5560,Spring,2021,s22,1,4,CIS,2,1,1,2
s22_CIS_4670_2021_Fall,4670,Fall,2021,s22,5,4,CIS,4,4,5,5
s22_CIS_1980_2020_Spring,1980,Spring,2020,s22,3,3,CIS,2,2,2,2
s23_CIS_5730_2022_Fall,5730,Fall,2022,s23,5,2,CIS,5,4,4,5
s23_CIS_5010_2020_Fall,5010,Fall,2020,s23,1,4,CIS,1,1,1,1
s23_CIS_5610_2022_Spring,5610,Spring,2022,s23,1,1,CIS,1,2,1,1
s23_CIS_6100_2022_Fall,6100,Fall,2022,s23,1,4,CIS,1,1,1,1
s23_CIS_5550_2021_Spring,5550,Spring,2021,s23,1,2,CIS,2,2,1,2
s24_CIS_5230_2021_Fall,5230,Fall,2021,s24,3,2,CIS,4,3,3,3
s24_CIS_5810_2020_Spring,5810,Spring,2020,s24,4,4,CIS,4,4,3,3
s24_CIS_1940_2022_Fall,1940,Fall,2022,s24,1,3,CIS,2,1,1,1
s24_CIS_6800_2021_Fall,6800,Fall,2021,s24,1,1,CIS,1,1,1,1
s24_CIS_5900_2021_Spring,5900,Spring,2021,s24,3,4,CIS,3,2,3,4
s25_CIS_3310_2022_Spring,3310,Spring,2022,s25,4,4,CIS,4,5,5,4
s25_CIS_5490_2022_Fall,5490,Fall,2022,s25,4,4,CIS,4,3,5,4
s25_CIS_6730_2021_Spring,6730,Spring,2021,s25,4,1,CIS,5,5,4,4
s25_CIS_5260_2020_Fall,5260,Fall,2020,s25,5,2,CIS,4,5,4,4
s25_CIS_8100_2020_Fall,8100,Fall,2020,s25,3,2,CIS,3,3,2,2
s26_CIS_5550_2021_Fall,5550,Fall,2021,s26,5,4,CIS,5,4,4,4
s26_CIS_5730_2022_Spring,5730,Spring,2022,s26,5,5,CIS,5,4,4,4
s26_CIS_5220_2020_Spring,5220,Spring,2020,s26,1,4,CIS,1,1,2,2
s26_CIS_6100_2021_Fall,6100,Fall,2021,s26,1,4,CIS,1,1,1,2
s26_CIS_2610_2020_Spring,2610,Spring,2020,s26,4,1,CIS,5,3,5,4
s27_CIS_5930_2022_Fall,5930,Fall,2022,s27,1,2,CIS,2,1,2,1
s27_CIS_5350_2021_Spring,5350,Spring,2021,s27,2,5,CIS,1,3,2,1
s27_CIS_5940_2022_Fall,5940,Fall,2022,s27,3,3,CIS,4,3,2,4
s27_CIS_6100_2020_Spring,6100,Spring,2020,s27,1,4,CIS,2,2,2,1
s27_CIS_5360_2020_Fall,5360,Fall,2020,s27,4,1,CIS,4,5,5,5
s28_CIS_6730_2020_Fall,6730,Fall,2020,s28,4,3,CIS,3,5,5,3
s28_CIS_3980_2021_Fall,3980,Fall,2021,s28,5,3,CIS,5,4,4,4
s28_CIS_6770_2022_Fall,6770,Fall,2022,s28,5,5,CIS,5,5,5,5
s28_CIS_2620_2021_Fall,2620,Fall,2021,s28,1,1,CIS,1,2,1,1
s28_CIS_1250_2022_Spring,1250,Spring,2022,s28,4,1,CIS,4,3,5,4
s29_CIS_3500_2021_Fall,3500,Fall,2021,s29,3,3,CIS,4,2,4,2
s29_CIS_6250_2020_Fall,6250,Fall,2020,s29,4,4,CIS,4,5,4,3
s29_CIS_5810_2022_Spring,5810,Spring,2022,s29,2,5,CIS,1,1,3,1
s29_CIS_5950_2022_Spring,5950,Spring,2022,s29,4,5,CIS,4,5,3,5
s29_CIS_5680_2021_Spring,5680,Spring,2021,s29,1,4,CIS,2,1,1,1
s30_CIS_5360_2020_Fall,5360,Fall,2020,s30,5,1,CIS,5,5,4,4
s30_CIS_0099_2020_Spring,0099,Spring,2020,s30,5,5,CIS,5,5,5,5
s30_CIS_5660_2021_Fall,5660,Fall,2021,s30,5,5,CIS,4,4,5,5
s30_CIS_4710_2020_Spring,4710,Spring,2020,s30,5,4,CIS,5,5,5,5
s30_CIS_5600_2022_Spring,5600,Spring,2022,s30,4,2,CIS,4,4,3,5
s31_CIS_5410_2020_Spring,5410,Spring,2020,s31,4,2,CIS,5,5,5,4
s31_CIS_4620_2021_Fall,4620,Fall,2021,s31,5,2,CIS,5,5,5,5
s31_CIS_5930_2020_Fall,5930,Fall,2020,s31,5,3,CIS,5,4,4,4
s31_CIS_4980_2021_Fall,4980,Fall,2021,s31,4,2,CIS,4,3,5,3
s31_CIS_4500_2021_Fall,4500,Fall,2021,s31,2,3,CIS,3,1,1,2
s32_CIS_5480_2020_Fall,5480,Fall,2020,s32,3,3,CIS,3,2,3,2
s32_CIS_4710_2021_Spring,4710,Spring,2021,s32,5,5,CIS,5,5,5,4
s32_CIS_1900_2022_Fall,1900,Fall,2022,s32,1,1,CIS,1,1,1,2
s32_CIS_1400_2021_Fall,1400,Fall,2021,s32,3,1,CIS,4,2,3,2
s32_CIS_5710_2021_Spring,5710,Spring,2021,s32,2,3,CIS,2,3,1,1
s33_CIS_5810_2022_Fall,5810,Fall,2022,s33,2,1,CIS,1,1,1,1
s33_CIS_5680_2021_Fall,5680,Fall,2021,s33,1,4,CIS,1,2,1,1
s33_CIS_1210_2021_Spring,1210,Spring,2021,s33,3,4,CIS,4,2,2,2
s33_CIS_4000_2020_Fall,4000,Fall,2020,s33,3,1,CIS,2,4,2,3
s33_CIS_1250_2020_Fall,1250,Fall,2020,s33,2,4,CIS,3,3,3,3
s34_CIS_6820_2020_Spring,6820,Spring,2020,s34,3,5,CIS,4,2,4,3
s34_CIS_1070_2020_Spring,1070,Spring,2020,s34,1,5,CIS,1,1,1,1
s34_CIS_5610_2022_Fall,5610,Fall,2022,s34,5,4,CIS,5,4,5,5
s34_CIS_4110_2022_Fall,4110,Fall,2022,s34,1,5,CIS,1,1,1,2
s34_CIS_5010_2021_Spring,5010,Spring,2021,s34,2,5,CIS,1,2,3,1
s35_CIS_5420_2021_Spring,5420,Spring,2021,s35,1,3,CIS,1,2,1,2
s35_CIS_4230_2021_Spring,4230,Spring,2021,s35,2,1,CIS,1,3,3,3
s35_CIS_5730_2022_Fall,5730,Fall,2022,s35,4,2,CIS,5,3,4,4
s35_CIS_1940_2021_Fall,1940,Fall,2021,s35,2,3,CIS,1,2,3,2
s35_CIS_5920_2020_Spring,5920,Spring,2020,s35,3,4,CIS,3,3,4,2
s36_CIS_6730_2020_Fall,6730,Fall,2020,s36,2,3,CIS,2,2,3,2
s36_CIS_1920_2020_Fall,1920,Fall,2020,s36,1,5,CIS,2,2,1,1
s36_CIS_5550_2022_Spring,5550,Spring,2022,s36,3,4,CIS,4,3,4,2
s36_CIS_5670_2021_Spring,5670,Spring,2021,s36,2,1,CIS,3,1,3,2
s36_CIS_8950_2022_Spring,8950,Spring,2022,s36,2,5,CIS,3,2,2,1
s37_CIS_3200_2021_Fall,3200,Fall,2021,s37,1,4,CIS,1,2,1,1
s37_CIS_5900_2020_Spring,5900,Spring,2020,s37,2,4,CIS,3,1,3,2
s37_CIS_5560_2020_Fall,5560,Fall,2020,s37,4,3,CIS,4,3,5,4
s37_CIS_5960_2021_Fall,5960,Fall,2021,s37,4,5,CIS,5,4,4,5
s37_CIS_5620_2021_Fall,5620,Fall,2021,s37,5,1,CIS,5,5,4,5
s38_CIS_4110_2021_Spring,4110,Spring,2021,s38,5,4,CIS,4,5,5,5
s38_CIS_4550_2022_Fall,4550,Fall,2022,s38,2,2,CIS,1,2,1,3
s38_CIS_6250_2021_Fall,6250,Fall,2021,s38,3,2,CIS,3,2,4,2
s38_CIS_1970_2021_Spring,1970,Spring,2021,s38,1,5,CIS,2,1,2,2
s38_CIS_9950_2022_Fall,9950,Fall,2022,s38,5,2,CIS,5,5,4,5
s39_CIS_7980_2022_Spring,7980,Spring,2022,s39,2,2,CIS,1,3,1,3
s39_CIS_4500_2022_Spring,4500,Spring,2022,s39,5,4,CIS,5,5,4,5
s39_CIS_1400_2020_Spring,1400,Spring,2020,s39,1,2,CIS,1,1,1,1
s39_CIS_5960_2022_Fall,5960,Fall,2022,s39,3,1,CIS,2,4,2,3
s39_CIS_5680_2021_Spring,5680,Spring,2021,s39,2,3,CIS,1,2,1,2
s40_CIS_6600_2021_Fall,6600,Fall,2021,s40,5,2,CIS,4,4,5,5
s40_CIS_5360_2021_Fall,5360,Fall,2021,s40,4,5,CIS,4,4,3,5
s40_CIS_6800_2020_Fall,6800,Fall,2020,s40,1,5,CIS,1,1,2,1
s40_CIS_5220_2020_Fall,5220,Fall,2020,s40,1,2,CIS,1,2,1,1
s40_CIS_6010_2022_Fall,6010,Fall,2022,s40,5,2,CIS,5,5,4,5
s41_CIS_1930_2022_Spring,1930,Spring,2022,s41,3,1,CIS,2,2,2,4
s41_CIS_1100_2022_Fall,1100,Fall,2022,s41,2,5,CIS,3,3,1,3
s41_CIS_1910_2022_Spring,1910,Spring,2022,s41,4,4,CIS,4,3,4,4
s41_CIS_4110_2021_Fall,4110,Fall,2021,s41,5,2,CIS,5,4,5,5
s41_CIS_2620_2022_Spring,2620,Spring,2022,s41,1,2,CIS,1,1,2,2
s42_CIS_6100_2022_Spring,6100,Spring,2022,s42,2,2,CIS,1,2,1,1
s42_CIS_1200_2022_Spring,1200,Spring,2022,s42,1,2,CIS,2,1,2,1
s42_CIS_6500_2021_Spring,6500,Spring,2021,s42,3,3,CIS,3,4,3,4
s42_CIS_5400_2020_Fall,5400,Fall,2020,s42,4,4,CIS,3,5,5,4
s42_CIS_2400_2020_Spring,2400,Spring,2020,s42,1,4,CIS,2,2,2,2
s43_CIS_5370_2021_Spring,5370,Spring,2021,s43,4,4,CIS,4,3,4,5
s43_CIS_3340_2022_Spring,3340,Spring,2022,s43,4,5,CIS,3,4,3,4
s43_CIS_4110_2021_Fall,4110,Fall,2021,s43,5,4,CIS,5,5,4,5
s43_CIS_5050_2022_Spring,5050,Spring,2022,s43,1,3,CIS,1,1,1,1
s43_CIS_5670_2021_Fall,5670,Fall,2021,s43,1,3,CIS,1,1,1,2
s44_CIS_5190_2022_Spring,5190,Spring,2022,s44,2,1,CIS,1,3,1,1
s44_CIS_5480_2020_Spring,5480,Spring,2020,s44,5,2,CIS,5,5,5,5
s44_CIS_5900_2020_Spring,5900,Spring,2020,s44,4,4,CIS,4,4,4,5
s44_CIS_6300_2022_Spring,6300,Spring,2022,s44,5,4,CIS,4,5,4,4
s44_CIS_4360_2022_Spring,4360,Spring,2022,s44,4,3,CIS,4,4,3,4
s45_CIS_5050_2020_Fall,5050,Fall,2020,s45,1,3,CIS,2,2,1,1
s45_CIS_5520_2021_Spring,5520,Spring,2021,s45,2,3,CIS,1,3,3,1
s45_CIS_5970_2021_Fall,5970,Fall,2021,s45,2,3,CIS,1,2,2,1
s45_CIS_6400_2022_Fall,6400,Fall,2022,s45,2,4,CIS,1,1,3,3
s45_CIS_6010_2022_Fall,6010,Fall,2022,s45,4,5,CIS,5,3,5,3
s46_CIS_5360_2021_Fall,5360,Fall,2021,s46,3,2,CIS,3,2,2,3
s46_CIS_8950_2020_Fall,8950,Fall,2020,s46,4,2,CIS,3,4,5,4
s46_CIS_1100_2020_Fall,1100,Fall,2020,s46,3,1,CIS,2,3,2,2
s46_CIS_5800_2021_Fall,5800,Fall,2021,s46,4,4,CIS,5,4,3,5
s46_CIS_5370_2021_Spring,5370,Spring,2021,s46,3,1,CIS,3,2,3,3
s47_CIS_2610_2022_Fall,2610,Fall,2022,s47,3,1,CIS,4,2,4,2
s47_CIS_5360_2022_Fall,5360,Fall,2022,s47,3,2,CIS,3,3,2,4
s47_CIS_1210_2021_Spring,1210,Spring,2021,s47,1,1,CIS,2,1,1,1
s47_CIS_9990_2021_Fall,9990,Fall,2021,s47,2,4,CIS,3,2,2,2
s47_CIS_5940_2020_Fall,5940,Fall,2020,s47,5,3,CIS,5,4,5,5
s48_CIS_5190_2022_Spring,5190,Spring,2022,s48,4,4,CIS,4,3,4,3
s48_CIS_5220_2022_Fall,5220,Fall,2022,s48,3,4,CIS,4,2,2,3
s48_CIS_6600_2020_Spring,6600,Spring,2020,s48,2,1,CIS,2,1,1,2
s48_CIS_5910_2021_Spring,5910,Spring,2021,s48,5,5,CIS,5,5,5,4
s48_CIS_8000_2021_Spring,8000,Spring,2021,s48,1,3,CIS,1,2,1,2
s49_CIS_3410_2021_Spring,3410,Spring,2021,s49,3,3,CIS,2,3,4,3
s49_CIS_4230_2022_Spring,4230,Spring,2022,s49,2,5,CIS,3,2,1,2
s49_CIS_8100_2020_Spring,8100,Spring,2020,s49,3,5,CIS,4,2,3,4
s49_CIS_5660_2020_Spring,5660,Spring,2020,s49,4,5,CIS,5,4,4,3
s49_CIS_4980_2020_Fall,4980,Fall,2020,s49,3,1,CIS,3,3,2,2
s50_CIS_5910_2022_Fall,5910,Fall,2022,s50,5,1,CIS,5,5,4,4
s50_CIS_3500_2022_Spring,3500,Spring,2022,s50,2,3,CIS,3,1,1,3
s50_CIS_1970_2021_Fall,1970,Fall,2021,s50,2,5,CIS,1,2,2,1
s50_CIS_4210_2020_Spring,4210,Spring,2020,s50,3,1,CIS,2,4,4,4
s50_CIS_8990_2022_Fall,8990,Fall,2022,s50,3,1,CIS,3,2,2,4
s51_CIS_6100_2020_Fall,6100,Fall,2020,s51,5,1,CIS,5,4,5,4
s51_CIS_5920_2020_Fall,5920,Fall,2020,s51,1,4,CIS,1,1,1,2
s51_CIS_1960_2021_Fall,1960,Fall,2021,s51,3,4,CIS,4,3,3,2
s51_CIS_1070_2021_Fall,1070,Fall,2021,s51,2,4,CIS,3,1,1,1
s51_CIS_1980_2022_Fall,1980,Fall,2022,s51,3,3,CIS,4,4,4,3
s52_CIS_4360_2021_Spring,4360,Spring,2021,s52,1,1,CIS,1,1,2,1
s52_CIS_5660_2022_Spring,5660,Spring,2022,s52,2,2,CIS,3,3,2,2
s52_CIS_5300_2021_Spring,5300,Spring,2021,s52,4,2,CIS,3,3,3,5
s52_CIS_5960_2021_Spring,5960,Spring,2021,s52,5,2,CIS,5,5,4,5
s52_CIS_1600_2022_Fall,1600,Fall,2022,s52,1,4,CIS,2,1,1,1
s53_CIS_6250_2021_Fall,6250,Fall,2021,s53,1,4,CIS,2,1,1,2
s53_CIS_4010_2021_Spring,4010,Spring,2021,s53,3,4,CIS,2,4,3,3
s53_CIS_6800_2020_Spring,6800,Spring,2020,s53,3,1,CIS,2,3,3,3
s53_CIS_5360_2022_Spring,5360,Spring,2022,s53,2,2,CIS,3,1,1,3
s53_CIS_5110_2020_Fall,5110,Fall,2020,s53,4,3,CIS,4,3,3,4
s54_CIS_0099_2021_Fall,0099,Fall,2021,s54,5,4,CIS,5,5,4,4
s54_CIS_6500_2022_Fall,6500,Fall,2022,s54,2,5,CIS,1,3,3,2
s54_CIS_1810_2020_Fall,1810,Fall,2020,s54,1,3,CIS,2,2,2,1
s54_CIS_5550_2020_Spring,5550,Spring,2020,s54,2,5,CIS,1,2,1,1
s54_CIS_3800_2021_Fall,3800,Fall,2021,s54,5,2,CIS,5,5,5,4
s55_CIS_1600_2021_Spring,1600,Spring,2021,s55,2,2,CIS,3,1,1,2
s55_CIS_6800_2020_Fall,6800,Fall,2020,s55,1,5,CIS,1,2,2,1
s55_CIS_6600_2020_Spring,6600,Spring,2020,s55,4,3,CIS,5,3,4,3
s55_CIS_3410_2021_Fall,3410,Fall,2021,s55,4,5,CIS,4,5,3,5
s55_CIS_4010_2021_Fall,4010,Fall,2021,s55,4,3,CIS,3,4,5,5
s56_CIS_5400_2022_Fall,5400,Fall,2022,s56,2,1,CIS,1,3,1,3
s56_CIS_3200_2020_Fall,3200,Fall,2020,s56,1,5,CIS,2,1,2,1
s56_CIS_5110_2021_Spring,5110,Spring,2021,s56,4,4,CIS,4,4,5,5
s56_CIS_1100_2020_Fall,1100,Fall,2020,s56,2,5,CIS,2,2,1,3
s56_CIS_5010_2022_Spring,5010,Spring,2022,s56,5,4,CIS,5,5,5,4
s57_CIS_5620_2021_Fall,5620,Fall,2021,s57,5,3,CIS,5,4,5,5
s57_CIS_5680_2020_Spring,5680,Spring,2020,s57,1,2,CIS,2,2,1,2
s57_CIS_5020_2021_Fall,5020,Fall,2021,s57,3,1,CIS,3,4,3,3
s57_CIS_4000_2022_Fall,4000,Fall,2022,s57,2,2,CIS,2,1,1,3
s57_CIS_5200_2022_Spring,5200,Spring,2022,s57,3,2,CIS,2,2,3,4
s58_CIS_1910_2021_Fall,1910,Fall,2021,s58,1,5,CIS,1,1,1,1
s58_CIS_8950_2021_Spring,8950,Spring,2021,s58,2,1,CIS,3,2,3,2
s58_CIS_5410_2022_Fall,5410,Fall,2022,s58,4,4,CIS,4,3,3,4
s58_CIS_6770_2022_Fall,6770,Fall,2022,s58,1,2,CIS,2,1,1,1
s58_CIS_1210_2022_Fall,1210,Fall,2022,s58,4,1,CIS,3,3,4,5
s59_CIS_5550_2021_Fall,5550,Fall,2021,s59,4,4,CIS,5,5,5,4
s59_CIS_5300_2022_Spring,5300,Spring,2022,s59,4,3,CIS,3,3,3,5
s59_CIS_1980_2022_Fall,1980,Fall,2022,s59,4,1,CIS,5,5,4,4
s59_CIS_1910_2022_Fall,1910,Fall,2022,s59,1,4,CIS,2,2,1,1
s59_CIS_5800_2021_Fall,5800,Fall,2021,s59,5,2,CIS,4,5,4,5
s60_CIS_4980_2020_Spring,4980,Spring,2020,s60,2,3,CIS,2,3,1,3
s60_CIS_5470_2022_Spring,5470,Spring,2022,s60,3,1,CIS,4,4,4,4
